Constituency,"Valid votes
(%)",Candidate,Party,Alliance,Votes,%,Candidate,Party,Alliance,Votes,%,Margin
Manjeshwar,77.93,A. K. M. Ashraf,IUML,UDF,"65,758",38.14,K. Surendran,BJP,NDA,"65,013",37.7,745
Kasaragod,72.05,N. A. Nellikkunnu,IUML,UDF,"63,296",43.8,K. Shreekanth,BJP,NDA,"50,395",34.88,"12,901"
Udma,77.37,C. H. Kunhambu,CPI(M),LDF,"78,664",47.58,Balakrishnan Periye,INC,UDF,"65,342",39.52,"13,322"
Kanhangad,76.44,E. Chandrasekharan,CPI,LDF,"84,615",50.72,P. V. Suresh,INC,UDF,"57,476",34.45,"27,139"
Thrikaripur,79.4,M. Rajagopalan,CPI(M),LDF,"86,151",53.71,M. P. Joseph,KC,UDF,"60,014",37.41,"26,137"
Payyanur,81.87,TI. Madhusoodanan,CPI(M),LDF,"93,695",62.49,M. Pradeep Kumar,INC,UDF,"43,915",29.29,"49,780"
Kalliasseri,78.86,M. Vijin,CPI(M),LDF,"88,252",60.62,Brijesh Kumar,INC,UDF,"43,859",30.13,"44,393"
Taliparamba,83.44,M. V. Govindan,CPI(M),LDF,"92,870",52.14,Abdul Rasheed V. P.,INC,UDF,"70,181",39.4,"22,689"
Irikkur,78.2,Sajeev Joseph,INC,UDF,"76,764",50.33,Saji Kuttiyanimattom,KC(M),LDF,"66,754",43.77,"10,010"
Azhikode,79.85,K. V. Sumesh,CPI(M),LDF,"65,794",45.41,K. M. Shaji,IUML,UDF,"59,653",41.17,"6,141"
Kannur,77.29,Kadannappalli Ramachandran,Con(S),LDF,"60,313",44.98,Satheeshan Pacheni,INC,UDF,"58,568",43.68,"1,745"
Dharmadam,83.33,Pinarayi Vijayan,CPI(M),LDF,"95,522",59.61,C. Raghunath,INC,UDF,"45,399",28.33,"50,123"
Thalassery,76.13,A. N. Shamseer,CPI(M),LDF,"81,810",61.52,M. P. Aravindakshan,INC,UDF,"45,009",33.84,"36,801"
Kuthuparamba,80.37,K. P. Mohanan,RJD,LDF,"70,626",45.36,P. K. Abdulla,IUML,UDF,"61,085",39.23,"9,541"
Mattannur,82.11,K. K. Shailaja,CPI(M),LDF,"96,129",61.97,Illikkal Agasthy,RSP,UDF,"35,166",22.67,"60,963"
Peravoor,80.41,Sunny Joseph,INC,UDF,"66,706",46.93,Sakeer Hussain,CPI(M),LDF,"63,534",44.7,"3,172"
Mananthavady (ST),78.33,O. R. Kelu,CPI(M),LDF,"72,536",47.54,P. K. Jayalakshmi,INC,UDF,"63,254",41.46,"9,282"
Sulthan Bathery (ST),75.99,I. C. Balakrishnan,INC,UDF,"81,077",48.42,M. S. Viswanathan,CPI(M),LDF,"69,255",41.36,"11,822"
Kalpetta,75.84,T. Siddique,INC,UDF,"70,252",46.15,M. V. Shreyams Kumar,LJD,LDF,"64,782",42.56,"5,470"
Vadakara,81.9,K. K. Rema,RMPI,UDF,"65,093",47.63,Manayath Chandran,LJD,LDF,"57,602",42.15,"7,491"
Kuttiady,83.94,K. P. Kunhammadkutty,CPI(M),LDF,"80,143",47.2,Parakkal Abdulla,IUML,UDF,"79,810",47.01,333
Nadapuram,81.14,E. K. Vijayan,CPI,LDF,"83,293",47.46,K.Praveen Kumar,INC,UDF,"79,258",45.16,"4,035"
Koyilandy,78.64,Kanathil Jameela,CPI(M),LDF,"75,628",46.66,N. Subramanian,INC,UDF,"67,156",41.43,"8,472"
Perambra,82.86,T. P. Ramakrishnan,CPI(M),LDF,"86,023",52.54,C. H. Ibrahimkutty,Ind.,UDF,"63,431",38.74,"22,592"
Balussery (SC),80.91,K. M. Sachin Dev,CPI(M),LDF,"91,839",50.47,Dharmajan Bolgatty,INC,UDF,"71,467",39.28,"20,372"
Elathur,80.68,A. K. Saseendran,NCP,LDF,"83,639",50.89,Sulfikar Mayoori,NCK,UDF,"45,137",27.46,"38,502"
Kozhikode North,75.98,Thottathil Raveendran,CPI(M),LDF,"59,124",42.98,K. M. Abhijith,INC,UDF,"46,196",33.58,"12,928"
Kozhikode South,75.62,Ahamed Devarkovil,INL,LDF,"52,557",44.15,P. K. Noorbeena Rasheed,IUML,UDF,"40,098",33.68,"12,459"
Beypore,79.4,P. A. Mohammed Riyas,CPI(M),LDF,"82,165",49.73,P. M. Niyas,INC,UDF,"53,418",32.33,"28,747"
Kunnamangalam,83.57,P. T. A. Rahim,Ind.,LDF,"85,138",43.93,Dinesh Perumanna,Ind.,UDF,"74,862",38.62,"10,276"
Koduvally,82.44,M. K. Muneer,IUML,UDF,"72,336",47.86,Karat Razak,Ind.,LDF,"65,992",43.66,"6,344"
Thiruvambady,79.4,Linto Joseph,CPI(M),LDF,"67,867",47.46,C. P. Cheriya Muhammed,IUML,UDF,"63,224",44.21,"5,596"
Kondotty,80.25,T. V. Ibrahim,IUML,UDF,"82,759",50.42,Sulaiman Haji,Ind.,LDF,"65,093",39.66,"17,666"
Eranad,79.69,P. K. Basheer,IUML,UDF,"78,076",54.49,K. T. Abdurahman,Ind.,LDF,"55,530",38.76,"22,546"
Nilambur,76.71,P. V. Anvar,Ind.,LDF,"81,227",46.9,V. V. Prakash,INC,UDF,"78,527",45.34,"2,700"
Wandoor (SC),75.17,A. P. Anil Kumar,INC,UDF,"87,415",51.44,P. Midhuna,CPI(M),LDF,"71,852",42.28,"15,563"
Manjeri,75.95,U. A. Latheef,IUML,UDF,"78,836",50.22,P. Dibona Nassar,CPI,LDF,"64,263",40.93,"14,573"
Perinthalmanna,76.15,Najeeb Kanthapuram,IUML,UDF,"76,530",46.21,K. P. Mustafa,Ind.,LDF,"76,492",46.19,38
Mankada,77.32,Manjalamkuzhi Ali,IUML,UDF,"83,231",49.46,T. K. Rasheed Ali,CPI(M),LDF,"76,985",45.75,"6,246"
Malappuram,76.56,P. Ubaidulla,IUML,UDF,"93,166",57.57,P. Abdurahman,CPI(M),LDF,"57,958",35.82,"35,208"
Vengara,71.09,P. K. Kunhalikutty,IUML,UDF,"70,381",53.5,P. Jiji,CPI(M),LDF,"39,785",30.24,"30,596"
Vallikkunnu,76.27,P. Abdul Hameed,IUML,UDF,"71,823",47.43,A. P. Abdul Wahab,INL,LDF,"57,707",38.11,"14,116"
Tirurangadi,75.07,K. P. A. Majeed,IUML,UDF,"73,499",49.74,Niyas Pulikkalakath,Ind.,LDF,"63,921",43.26,"9,578"
Tanur,77.87,V. Abdurahman,NSC,LDF,"70,704",46.34,P. K. Firos,IUML,UDF,"69,719",45.7,985
Tirur,74.45,Kurukkoli Moideen,IUML,UDF,"82,314",48.21,Ghafoor P. Lillis,CPI(M),LDF,"75,100",43.98,"7,214"
Kottakkal,74.01,K. K. Abid Hussain Thangal,IUML,UDF,"81,700",51.08,N. A. Muhammad Kutty,NCP,LDF,"65,112",40.71,"16,588"
Thavanur,75.39,K. T. Jaleel,Ind.,LDF,"70,358",46.46,Firoz Kunnumparambil,INC,UDF,"67,794",44.77,"2,564"
Ponnani,70.9,P. Nandakumar,CPI(M),LDF,"74,668",51.35,A. M. Rohit,INC,UDF,"57,625",39.63,"17,043"
Thrithala,78.54,M. B. Rajesh,CPI(M),LDF,"69,814",45.84,V. T. Balram,INC,UDF,"66,798",43.86,"3,016"
Pattambi,78.06,Muhammed Muhsin,CPI,LDF,"75,311",49.58,Riyas Mukkoli,INC,UDF,"57,337",37.74,"17,974"
Shornur,78.32,P. Mammikutty,CPI(M),LDF,"74,400",48.98,T. H. Feroz Babu,INC,UDF,"37,726",24.83,"36,674"
Ottapalam,77.54,K. Premkumar,CPI(M),LDF,"74,859",46.45,P. Sarin,INC,UDF,"59,707",37.05,"15,152"
Kongad (SC),76.83,K. Shanthakumari,CPI(M),LDF,"67,881",49.01,U. C. Raman,IUML,UDF,"40,662",29.36,"27,219"
Mannarkkad,76.75,N. Shamsudheen,IUML,UDF,"71,657",47.11,K. P. Suresh Raj,CPI,LDF,"65,787",43.25,"5,870"
Malampuzha,76.94,A. Prabhakaran,CPI(M),LDF,"75,934",46.41,C. Krishnakumar,BJP,NDA,"50,200",30.68,"25,734"
Palakkad,75.44,Shafi Parambil,INC,UDF,"54,079",38.06,E. Sreedharan,BJP,NDA,"50,220",35.34,"3,859"
Tarur (SC),77.12,P. P. Sumod,CPI(M),LDF,"67,744",51.58,K. A. Sheeba,INC,UDF,"43,213",32.9,"24,531"
Chittur,80.88,K. Krishnankutty,JD(S),LDF,"84,672",55.38,Sumesh Achuthan,INC,UDF,"50,794",33.22,"33,878"
Nenmara,78.64,K. Babu,CPI(M),LDF,"80,145",52.89,C. N. Vijayakrishnan,CMP,UDF,"51,441",33.95,"28,704"
Alathur,79.1,K. D. Prasenan,CPI(M),LDF,"74,653",55.15,Palayam Pradeep,INC,UDF,"40,535",29.94,"34,118"
Chelakkara (SC),77.46,K. Radhakrishnan,CPI(M),LDF,"83,415",54.41,C. C. Sreekumar,INC,UDF,"44,015",28.71,"39,400"
Kunnamkulam,78.24,A. C. Moideen,CPI(M),LDF,"75,532",48.78,K. Jayasankar,INC,UDF,"48,901",31.58,"26,631"
Guruvayur,69.65,N. K. Akbar,CPI(M),LDF,"77,072",52.52,K. N. A. Khader,IUML,UDF,"58,804",40.07,"18,268"
Manalur,75.63,Murali Perunelly,CPI(M),LDF,"78,337",46.77,Vijay Hari,INC,UDF,"48,461",28.93,"29,876"
Wadakkanchery,78.18,Xavier Chittilappilly,CPI(M),LDF,"81,026",47.7,Anil Akkara,INC,UDF,"65,858",38.77,"15,168"
Ollur,75.45,K. Rajan,CPI,LDF,"76,657",49.09,Jose Valloor,INC,UDF,"55,151",35.31,"21,506"
Thrissur,70.78,P. Balachandran,CPI,LDF,"44,263",34.25,Padmaja Venugopal,INC,UDF,"43,317",33.52,946
Nattika (SC),73.14,C. C. Mukundan,CPI,LDF,"72,930",47.49,Sunil Lalur,INC,UDF,"44,499",28.98,"28,431"
Kaipamangalam,78.82,E. T. Taison,CPI,LDF,"73,161",53.76,Sobha Subin,INC,UDF,"50,463",37.08,"22,698"
Irinjalakuda,77.17,R. Bindu,CPI(M),LDF,"62,493",40.27,Thomas Unniyadan,KC,UDF,"56,544",36.44,"5,949"
Puthukkad,77.86,K. K. Ramachandran,CPI(M),LDF,"73,365",46.94,Sunil Anthikad,INC,UDF,"46,012",29.44,"27,353"
Chalakudy,74.42,T. J. Saneesh Kumar Joseph,INC,UDF,"61,888",43.23,Dennis Antony,KC(M),LDF,"60,831",42.49,"1,057"
Kodungallur,77.38,V. R. Sunil Kumar,CPI,LDF,"71,457",47.99,M. P. Jackson,INC,UDF,"47,564",31.94,"23,893"
Perumbavoor,78.37,Eldhose Kunnappilly,INC,UDF,"53,484",37.1,Babu Joseph,KC(M),LDF,"50,585",35.09,"2,899"
Angamaly,78.16,Roji M. John,INC,UDF,"71,562",51.86,Jose Thettayil,JD(S),LDF,"55,633",40.31,"15,929"
Aluva,76.72,Anwar Sadath,INC,UDF,"73,703",49,Shelna Nishad,CPI(M),LDF,"54,817",36.44,"18,886"
