No,Party,Flag,Symbol,Leader,Photo,Seats contested,Male,Female
,CPI(M),,,A. Vijayaraghavan,,77,65,12
,CPI,,,Kanam Rajendran,,23,21,2
,KEC(M),,,Jose K. Mani,,12,11,1
,JDS),,,Mathew T. Thomas,,4,4,0
,NCP,,,T. P. Peethambaran,,3,3,0
,RJD,,,M. V. Shreyams Kumar,,3,3,0
,INL,,,A. P. Abdul Wahab,,3,3,0
,CON(S),,,Kadannappalli Ramachandran,,1,1,0
,KEC(B),,,R. Balakrishna Pillai,,1,1,0
,JKC,,,K. C. Joseph,,1,1,0
,Independents,,,,,12,12,0
,INC,,,Mullappally Ramachandran,,93,83,10
,IUML,,,Sayed Hyderali Shihab Thangal,,25,24,1
,KEC,,,P. J. Joseph,,10,10,0
,RSP,,,A. A. Aziz,,5,5,0
,NCK,,,Mani C. Kappan,,2,2,0
,KEC(J),,,Anoop Jacob,,1,1,0
,CMP,,,C. P. John,,1,1,0
,RMPI,,,N. Venu,,1,0,1
,Independents,,,,,2,2,0
,BJP,,,K. Surendran,,113,98,15
,BDJS,,,Thushar Vellapally,,21,17,4
,AIADMK,,,G. Shobakumar[22],,2,1[a],1
,KKC,,,Vishnupuram Chandrasekharan,,1,1,0
,JRP,,,C. K. Janu,,1,0,1
